Connector,Diameter,AWG20,AWG22,AWG24
C1,10,2,9,0
C2,5,0,6,0
C3,7,0,16,0
C4,6,0,4,0
C5,11,0,28,0
C6,19,13,59,0
C7,12,3,13,0
C8,6,0,5,0
C9,8,0,6,0
C10,5,0,2,0
C11,5,0,8,0
C12,11,4,0,15
C13,15,8,16,15
C14,5,0,6,0
C15,7,3,3,0
C16,8,3,3,0
C17,5,2,0,0
C18,7,4,0,0
C19,7,2,0,0
C20,7,4,0,0
C21,8,4,0,0
C22,5,0,5,0
C23,7,2,0,0
C24,5,0,5,0
C25,7,2,0,0
C26,5,2,0,0
C27,6,2,0,0
C28,6,3,0,0
C29,6,0,12,0
C30,6,0,4,0
C32,10,0,10,6
C33,8,0,8,0
C34,11,2,22,20
C35,6,0,0,14
C36,8,0,20,0
C37,15,0,30,49
C38,15,0,50,34
C39,17,0,25,78
C41,8,0,8,0
C42,7,0,8,0
C43,11,0,60,0
C44,8,0,12,0
C45,6,0,4,0
C46,10,0,28,0
C47,10,11,0,0
C48,8,2,4,0
C49,20,25,44,4
C50,11,3,30,0
C51,12,2,23,0
C52,5,2,0,0
C53,5,0,4,0
C54,5,2,0,0
C55,7,4,0,0
C56,7,3,0,0
C57,5,0,5,0
C58,4,0,5,0
C59,6,2,0,0
C60,6,0,4,0
C61,17,0,110,0
C62,7,0,16,0
C63,7,0,4,0
